"Код";"Наименование";"Наличие";"Цена";"Полное описание";"Категория";"Фотография";"Производитель";"Название";"Артикул";"Гарантия";"Ресурс при 5% заполнении";"Тип";"Цвет печати";"Совместимость";"Категория";"Технология печати";"Для бренда";"Фасовка";"Тип чернил";"Штук в упаковке";"Размер";"Формат";"Плотность";"Белизна";"Тип фотобумаги";"Количество картриджей"
00000003898;Тонер-картридж Kyocera TK-1140 (О) (7200 стр.);Нет;3 610;;Картриджи;1e763fcb-9025-11e1-9a6e-001e67062bc9;Kyocera;;;От производителя;7200 стр.;Оригинальный;Черный (для монохромных устройств);Для Kyocera FS-1035MFP/1135MFP;Картриджи;Лазерная;;;;;;;;;;
00000003946;Тонер-картридж Kyocera TK-1130 (О) (3000 стр.);Нет;2 970;;Картриджи;922f449f-a630-11e1-93fa-001e67062bc8;Kyocera;;;От производителя;3000 стр.;Оригинальный;Черный (для монохромных устройств);Для Kyocera FS-1030/1130MFP;Картриджи;Лазерная;;;;;;;;;;
00000004103;Тонер-картридж Kyocera TK-170 (O) (7200 стр.);Да;4 040;;Картриджи;41492891-e512-11e1-8c66-001e67062bc8;Kyocera;;;От производителя;7200 стр.;Оригинальный;Черный (для монохромных устройств);Для Kyocera FS-1320D/1370DN;Картриджи;Лазерная;;;;;;;;;;
00000004307;Тонер-картридж Kyocera TK-475 (О) (15000 стр.);Да;3 780;;Картриджи;85189c35-3acb-11e2-b1fb-001e67062bc9;Kyocera;;;От производителя;15000 стр.;Оригинальный;Черный (для монохромных устройств);Для Kyocera FS-6025MFP/6030MFP;Картриджи;Лазерная;;;;;;;;;;
00000004683;Тонер-картридж Kyocera TK-160 (O) (2500 стр.);Да;2 470;;Картриджи;66a18026-a65e-11e2-941c-001e67062bc9;Kyocera;;;От производителя;2500 стр.;Оригинальный;Черный (для монохромных устройств);Для Kyocera FS-1120D/1120DN;Картриджи;Лазерная;;;;;;;;;;
00000005058;Тонер-картридж Kyocera TK-1110 (О) (2500 стр.);Нет;;;Картриджи;4bacad47-f501-11e2-ac7d-001e67062bc8;Kyocera;;;От производителя;2500 стр.;Оригинальный;Черный (для монохромных устройств);Для Kyocera FS-1040/1020MFP/1120MFP;Картриджи;Лазерная;;;;;;;;;;
00000005059;Тонер-картридж Kyocera TK-1120 (О) (3000 стр.);Нет;;;Картриджи;4bacad49-f501-11e2-ac7d-001e67062bc8;Kyocera;;;От производителя;3000 стр.;Оригинальный;Черный (для монохромных устройств);Для Kyocera FS-1060DN/1025MFP/1125MFP;Картриджи;Лазерная;;;;;;;;;;
00000005862;Тонер-картридж Kyocera TK-3130 (О) (25000 стр.);Нет;5 090;;Картриджи;;;;;;;;;;;;;;;;;;;;;
00000005867;Тонер-картридж Kyocera ТК-6305 (О) (35000 стр.);Нет;5 090;;Картриджи;;;;;;;;;;;;;;;;;;;;;
00000001253;Тонер-картридж Kyocera TK-510 Black (O) (8000 стр.);Да;3 570;;Картриджи;d902092a-cf93-11de-9e70-00804842e01d;Kyocera;;;От производителя;8000 стр.;Оригинальный;Черный (для цветных устройств);Для Kyocera FS-5020N;Картриджи;Лазерная;;;;;;;;;;
00000001358;Тонер-картридж Kyocera TK-510 Cyan (O) (8000 стр.);Да;6 420;;Картриджи;ec41c25b-eb0b-11de-9e8d-00804842e01d;Kyocera;;;От производителя;8000 стр.;Оригинальный;Голубой (Cyan);Для Kyocera FS-5020N;Картриджи;Лазерная;;;;;;;;;;
00000001359;Тонер-картридж Kyocera TK-510 Magenta (O) (8000 стр.);Да;6 420;;Картриджи;ec41c25d-eb0b-11de-9e8d-00804842e01d;Kyocera;;;От производителя;8000 стр.;Оригинальный;Пурпурный (Magenta);Для Kyocera FS-5020N;Картриджи;Лазерная;;;;;;;;;;
00000001360;Тонер-картридж Kyocera TK-510 Yellow (O) (8000 стр.);Да;6 420;;Картриджи;ec41c25f-eb0b-11de-9e8d-00804842e01d;Kyocera;;;От производителя;8000 стр.;Оригинальный;Желтый (Yellow);Для Kyocera FS-5020N;Картриджи;Лазерная;;;;;;;;;;
00000005145;Тонер-картридж Kyocera TK-865K Black (O) (20000 стр.);Нет;3 110;;Картриджи;a0e02020-03f2-11e3-8d63-001e67062bc9;Kyocera;;;От производителя;20000 стр.;Оригинальный;Черный (для монохромных устройств);Для Kyocera TASKalfa 250ci/300ci;Картриджи;Лазерная;;;;;;;;;;
00000005964;Тонер-картридж Kyocera TK-580 Black (O) (3500 стр.);Нет;2 120;;Картриджи;;;;;;;;;;;;;;;;;;;;;
00000005965;Тонер-картридж Kyocera TK-580 Cyan (O) (2500 стр.);Нет;;;Картриджи;;;;;;;;;;;;;;;;;;;;;
00000005966;Тонер-картридж Kyocera TK-580 Yellow (O) (2500 стр.);Нет;;;Картриджи;;;;;;;;;;;;;;;;;;;;;
00000005967;Тонер-картридж Kyocera TK-580 Magenta (O) (2500 стр.);Нет;3 350;;Картриджи;;;;;;;;;;;;;;;;;;;;;
